2026-05-21 12:46:40,959 | INFO | Pipeline started
2026-05-21 12:46:40,959 | INFO | Processing AAPL
2026-05-21 12:46:56,358 | INFO | Completed AAPL
2026-05-21 12:46:56,359 | INFO | Processing MSFT
2026-05-21 12:46:59,297 | INFO | Completed MSFT
2026-05-21 12:46:59,299 | INFO | Processing GOOGL
2026-05-21 12:47:01,951 | INFO | Completed GOOGL
2026-05-21 12:47:01,958 | INFO | Processing AMZN
2026-05-21 12:47:04,642 | INFO | Completed AMZN
2026-05-21 12:47:04,644 | INFO | Processing NVDA
2026-05-21 12:47:06,925 | INFO | Completed NVDA
2026-05-21 12:47:06,926 | INFO | Pipeline completed
2026-05-21 14:33:39,904 | INFO | Pipeline started
2026-05-21 14:33:39,906 | INFO | Processing AAPL
2026-05-21 14:33:55,238 | INFO | Completed AAPL
2026-05-21 14:33:55,326 | INFO | Processing MSFT
2026-05-21 14:34:18,512 | INFO | Pipeline started
2026-05-21 14:34:18,513 | INFO | Processing AAPL
2026-05-21 14:34:20,017 | ERROR | Error processing AAPL: name 'plot_stock' is not defined
2026-05-21 14:34:20,018 | INFO | Processing MSFT
2026-05-21 14:34:20,297 | ERROR | Error processing MSFT: name 'plot_stock' is not defined
2026-05-21 14:34:20,297 | INFO | Processing GOOGL
2026-05-21 14:34:20,547 | ERROR | Error processing GOOGL: name 'plot_stock' is not defined
2026-05-21 14:34:20,548 | INFO | Processing AMZN
2026-05-21 14:34:20,775 | ERROR | Error processing AMZN: name 'plot_stock' is not defined
2026-05-21 14:34:20,775 | INFO | Processing NVDA
2026-05-21 14:34:21,054 | ERROR | Error processing NVDA: name 'plot_stock' is not defined
2026-05-21 14:34:21,054 | INFO | Pipeline completed
2026-05-21 14:35:15,567 | INFO | Pipeline started
2026-05-21 14:35:15,569 | INFO | Processing AAPL
2026-05-21 14:35:16,952 | INFO | Completed AAPL
2026-05-21 14:35:16,952 | INFO | Processing MSFT
2026-05-21 14:35:17,256 | INFO | Completed MSFT
2026-05-21 14:35:17,256 | INFO | Processing GOOGL
2026-05-21 14:35:17,535 | INFO | Completed GOOGL
2026-05-21 14:35:17,536 | INFO | Processing AMZN
2026-05-21 14:35:17,776 | INFO | Completed AMZN
2026-05-21 14:35:17,776 | INFO | Processing NVDA
2026-05-21 14:35:18,047 | INFO | Completed NVDA
2026-05-21 14:35:18,048 | INFO | Pipeline completed
